Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,3050.000000,3050.000000,3050.000000,3050.000000,1420.560669,0
2017-01-03,3050.000000,3060.000000,3040.000000,3040.000000,1415.903076,17100
2017-01-04,3040.000000,3060.000000,3000.000000,3040.000000,1415.903076,112200
2017-01-05,3040.000000,3040.000000,3040.000000,3040.000000,1415.903076,0
2017-01-06,3100.000000,3100.000000,3070.000000,3090.000000,1439.191040,134900
2017-01-09,3090.000000,3150.000000,3090.000000,3120.000000,1453.163696,167700
2017-01-10,3120.000000,3250.000000,3090.000000,3100.000000,1443.848511,126100
2017-01-11,3100.000000,3120.000000,3100.000000,3120.000000,1453.163696,65800
2017-01-12,3120.000000,3120.000000,3100.000000,3110.000000,1448.506104,38100
2017-01-13,3110.000000,3120.000000,3110.000000,3110.000000,1448.506104,160900
2017-01-16,3110.000000,3110.000000,3100.000000,3110.000000,1448.506104,41700
2017-01-17,3110.000000,3200.000000,3100.000000,3100.000000,1443.848511,338400
2017-01-18,3100.000000,3250.000000,3100.000000,3200.000000,1490.424316,133800
2017-01-19,3200.000000,3250.000000,3180.000000,3250.000000,1513.712280,41400
2017-01-20,3250.000000,3300.000000,3250.000000,3280.000000,1527.684937,18300
2017-01-23,3280.000000,3390.000000,3280.000000,3350.000000,1560.287842,70100
2017-01-24,3350.000000,3350.000000,3300.000000,3330.000000,1550.972900,47400
2017-01-25,3330.000000,3330.000000,3330.000000,3330.000000,1550.972900,100
2017-01-26,3330.000000,3350.000000,3330.000000,3330.000000,1550.972900,1700
2017-01-27,3350.000000,3350.000000,3330.000000,3340.000000,1555.630371,2500
2017-01-30,3310.000000,3310.000000,3170.000000,3210.000000,1495.081787,12400
2017-01-31,3300.000000,3300.000000,3200.000000,3300.000000,1537.000122,18000
2017-02-01,3300.000000,3300.000000,3300.000000,3300.000000,1537.000122,8200
2017-02-02,3250.000000,3300.000000,3210.000000,3300.000000,1537.000122,2800
2017-02-03,3300.000000,3350.000000,3260.000000,3340.000000,1555.630371,38200
2017-02-06,3360.000000,3400.000000,3300.000000,3390.000000,1578.918335,14500
2017-02-07,3350.000000,3360.000000,3310.000000,3360.000000,1564.945679,97300
2017-02-08,3330.000000,3340.000000,3330.000000,3330.000000,1550.972900,8100
2017-02-09,3330.000000,3340.000000,3330.000000,3340.000000,1555.630371,5900
2017-02-10,3340.000000,3410.000000,3340.000000,3390.000000,1578.918335,7600
2017-02-13,3390.000000,3390.000000,3350.000000,3360.000000,1564.945679,38200
2017-02-14,3360.000000,3360.000000,3350.000000,3350.000000,1560.287842,127800
2017-02-15,3350.000000,3350.000000,3350.000000,3350.000000,1560.287842,0
2017-02-16,3350.000000,3370.000000,3350.000000,3350.000000,1560.287842,107700
2017-02-17,3350.000000,3400.000000,3330.000000,3400.000000,1583.575928,11400
2017-02-20,3350.000000,3350.000000,3350.000000,3350.000000,1560.287842,4300
2017-02-21,3300.000000,3400.000000,3300.000000,3390.000000,1578.918335,35100
2017-02-22,3380.000000,3390.000000,3380.000000,3380.000000,1574.260742,8300
2017-02-23,3390.000000,3410.000000,3390.000000,3410.000000,1588.233398,3600
2017-02-24,3400.000000,3450.000000,3400.000000,3430.000000,1597.548584,23800
2017-02-27,3430.000000,3490.000000,3430.000000,3490.000000,1625.494019,27600
2017-02-28,3490.000000,3700.000000,3490.000000,3680.000000,1713.987915,156000
2017-03-01,3680.000000,3870.000000,3640.000000,3870.000000,1802.481812,200900
2017-03-02,3890.000000,4250.000000,3890.000000,4170.000000,1942.209229,814900
2017-03-03,4190.000000,4240.000000,4020.000000,4060.000000,1890.975830,50300
2017-03-06,4060.000000,4060.000000,3750.000000,3870.000000,1802.481812,168200
2017-03-07,3900.000000,3950.000000,3780.000000,3940.000000,1835.084839,181500
2017-03-08,3940.000000,3940.000000,3880.000000,3940.000000,1835.084839,129700
2017-03-09,3900.000000,3900.000000,3900.000000,3900.000000,1816.454834,34000
2017-03-10,3910.000000,3930.000000,3870.000000,3930.000000,1830.427368,70700
2017-03-13,3970.000000,3970.000000,3950.000000,3950.000000,1839.742676,149100
2017-03-14,3950.000000,4000.000000,3950.000000,3970.000000,1849.057739,6900
2017-03-15,3970.000000,4000.000000,3950.000000,4000.000000,1863.030518,35600
2017-03-16,3990.000000,4000.000000,3990.000000,3990.000000,1858.372681,2300
