txtkontakid;status;umur;gender;prov;produk_kes;bekerja;payday;saudara
2010-AF05241;0;30-40 Tahun;0;JAWA BARAT;1;1;0;-1
1702-3929612;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
1909-OP58979;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2004-T567122;0;30-40 Tahun;1;KEPULAUAN BANGKA BELITUNG;0;0;0;-1
1612-D065134;0;40-50 Tahun;1;JAWA BARAT;0;1;1;1
2012-W517237;0;30-40 Tahun;1;SUMATERA UTARA;0;0;0;-1
2111-Q793089;0;40-50 Tahun;0;JAWA TIMUR;0;1;0;-1
2103-PW14705;0;30-40 Tahun;1;SUMATERA UTARA;0;1;0;-1
2104-CX79781;0;20-30 Tahun;1;RIAU;0;0;0;-1
1907-XQ00204;0;30-40 Tahun;1;JAWA TENGAH;0;0;0;-1
1410-D478892;1;30-40 Tahun;1;JAWA TIMUR;0;1;0;-1
1902-E312629;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
1812-D478557;0;30-40 Tahun;1;DKI JAKARTA;0;0;1;-1
2101-P759656;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
1504-E451252;0;30-40 Tahun;1;DIY YOGYAKARTA;0;1;0;-1
1909-PW27301;0;50-70 Tahun;1;SULAWESI TENGGARA;0;1;1;-1
1810-T562804;0;30-40 Tahun;1;SUMATERA SELATAN;0;0;0;-1
1901-D658774;0;20-30 Tahun;1;DKI JAKARTA;0;0;0;-1
2103-CV14311;0;<20 Tahun;1;SULAWESI TENGAH;0;0;0;-1
2103-R074359;0;30-40 Tahun;1;JAWA BARAT;0;0;1;-1
2012-Q623681;0;30-40 Tahun;1;BENGKULU;0;0;0;-1
0807-8856659;0;40-50 Tahun;1;SULAWESI SELATAN;0;1;0;0
1202-6615095;0;40-50 Tahun;1;DKI JAKARTA;0;1;1;-1
2009-OP36746;0;30-40 Tahun;1;SULAWESI TENGAH;0;1;0;-1
1810-PKL2327;0;30-40 Tahun;1;DKI JAKARTA;0;1;0;-1
2101-PQ25433;0;20-30 Tahun;1;SUMATERA SELATAN;0;0;0;-1
1811-L880927;0;20-30 Tahun;1;DKI JAKARTA;0;1;0;-1
2011-Q861700;0;30-40 Tahun;1;PAPUA;0;0;0;-1
1902-OI25380;0;20-30 Tahun;1;JAWA TIMUR;0;0;1;-1
1605-E448534;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
1901-Q821435;0;40-50 Tahun;0;JAWA TENGAH;0;1;1;-1
1907-CX25089;0;30-40 Tahun;1;KALIMANTAN TIMUR;0;0;1;-1
0910-1530694;0;50-70 Tahun;1;DIY YOGYAKARTA;0;0;0;-1
1501-4007568;0;30-40 Tahun;1;SULAWESI SELATAN;0;0;0;-1
2008-T036464;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
0907-1177429;0;40-50 Tahun;1;DKI JAKARTA;0;0;0;-1
2003-PO73810;0;20-30 Tahun;1;BANTEN;0;0;0;-1
1108-1895977;0;50-70 Tahun;1;SUMATERA UTARA;0;0;1;-1
1309-5760797;1;40-50 Tahun;1;SUMATERA BARAT;0;1;0;-1
2002-W578588;0;30-40 Tahun;1;BANTEN;0;0;0;-1
2108-T601739;0;30-40 Tahun;1;RIAU;0;0;0;-1
1501-E316122;0;30-40 Tahun;1;DKI JAKARTA;0;1;0;-1
2001-3CX5861;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
1908-CX60234;0;20-30 Tahun;1;DKI JAKARTA;0;0;1;-1
2102-T034966;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
1605-8525731;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
2010-OP53612;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2106-PKL0784;0;30-40 Tahun;0;SUMATERA UTARA;0;1;0;-1
1908-T593943;0;20-30 Tahun;1;DKI JAKARTA;0;0;0;-1
1401-2517952;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2102-4CX2280;0;20-30 Tahun;1;SUMATERA UTARA;0;1;0;-1
2109-PM25478;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
1806-H458618;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2111-PA47997;0;30-40 Tahun;1;SUMATERA UTARA;0;1;0;-1
1803-D657855;0;30-40 Tahun;1;BANTEN;0;1;1;-1
2102-OP43891;0;20-30 Tahun;1;BENGKULU;0;0;0;-1
2107-I863337;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2011-Q873417;0;20-30 Tahun;1;SUMATERA SELATAN;0;1;1;-1
2109-PA10394;0;40-50 Tahun;1;JAWA TIMUR;0;0;1;-1
2012-CX19295;0;<20 Tahun;1;SULAWESI TENGAH;0;0;1;-1
2102-TX27509;0;30-40 Tahun;1;JAMBI;0;0;0;-1
2103-XNH3729;0;20-30 Tahun;0;BENGKULU;0;1;0;-1
1912-Q836012;0;30-40 Tahun;1;JAWA BARAT;0;1;1;-1
2009-CX13448;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
2111-T604978;0;30-40 Tahun;1;SUMATERA UTARA;0;0;1;-1
1412-4002813;0;30-40 Tahun;1;BANTEN;0;1;1;-1
2007-EV11231;0;20-30 Tahun;1;NUSA TENGGARA BARAT;0;0;0;-1
1103-1882448;0;30-40 Tahun;1;JAMBI;0;0;0;0
2101-W571216;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
2101-PQ11419;0;20-30 Tahun;1;PAPUA;0;0;0;-1
2012-T034264;0;20-30 Tahun;1;SUMATERA UTARA;0;1;0;0
2103-AO25610;0;30-40 Tahun;1;JAWA TENGAH;0;0;1;-1
2006-PW48507;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
2010-XNH2586;0;20-30 Tahun;1;JAWA TENGAH;0;0;0;-1
1806-H454291;0;20-30 Tahun;1;JAWA TENGAH;0;0;1;-1
1807-D101514;0;20-30 Tahun;1;JAWA TENGAH;0;0;0;-1
2105-4382809;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2105-W578900;0;20-30 Tahun;1;JAWA TENGAH;0;0;1;-1
2010-TX22378;0;30-40 Tahun;1;JAWA TENGAH;0;0;1;-1
2012-T570736;0;30-40 Tahun;1;SUMATERA UTARA;0;1;0;-1
0903-1075534;0;30-40 Tahun;1;BALI;0;1;0;-1
