txtkontakid;status;umur;gender;prov;produk_kes;bekerja;payday;saudara
2102-I898815;0;30-40 Tahun;1;DKI JAKARTA;0;1;0;-1
2101-OP82934;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
2002-M283817;0;50-70 Tahun;1;JAWA BARAT;0;0;0;-1
2001-CX66866;0;20-30 Tahun;1;SUMATERA UTARA;0;0;0;-1
2008-3CX9591;0;30-40 Tahun;1;DKI JAKARTA;0;0;0;-1
2007-OI00260;0;30-40 Tahun;1;JAWA BARAT;0;0;0;1
1906-PQ97023;0;30-40 Tahun;1;DKI JAKARTA;0;0;0;-1
2108-P610982;0;40-50 Tahun;1;KALIMANTAN SELATAN;0;0;0;-1
2110-RT39120;0;20-30 Tahun;1;RIAU;0;1;0;-1
2003-OI39606;0;20-30 Tahun;1;KALIMANTAN SELATAN;0;0;0;-1
2012-RO77087;0;30-40 Tahun;1;SUMATERA UTARA;0;1;0;-1
2011-OI92392;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2103-I861015;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
2111-OP66256;0;20-30 Tahun;1;JAWA BARAT;0;0;1;-1
2111-OI12392;0;30-40 Tahun;1;BANTEN;0;0;0;-1
2103-OQ13384;0;20-30 Tahun;1;BALI;0;0;0;-1
2010-CX01744;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
1801-V627871;0;30-40 Tahun;1;KALIMANTAN SELATAN;0;1;0;-1
1907-OP33426;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
1612-7031323;0;20-30 Tahun;1;DKI JAKARTA;1;1;0;-1
1803-S871330;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
1910-CX54595;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
2011-T554287;0;30-40 Tahun;1;JAWA TIMUR;0;0;1;-1
1602-C904642;0;40-50 Tahun;1;DKI JAKARTA;0;1;0;0
1906-OP43373;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2005-1526222;0;20-30 Tahun;1;BANTEN;0;1;0;-1
1409-E370699;0;50-70 Tahun;0;JAWA TENGAH;0;1;0;-1
1912-Q622243;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
2103-OI93423;0;20-30 Tahun;1;JAWA TENGAH;0;0;1;-1
2101-OP31348;0;20-30 Tahun;1;KALIMANTAN SELATAN;0;0;0;-1
2101-OI67152;0;20-30 Tahun;1;BALI;0;0;0;-1
2009-AF03051;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
1805-D100654;0;20-30 Tahun;1;DKI JAKARTA;0;1;0;-1
1811-PPX3494;0;30-40 Tahun;1;JAWA TIMUR;0;1;0;-1
1810-X501059;0;30-40 Tahun;1;SULAWESI SELATAN;0;1;0;0
1902-M281106;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
2008-W548124;0;30-40 Tahun;1;DIY YOGYAKARTA;0;1;0;-1
1403-6597032;0;30-40 Tahun;1;JAWA BARAT;0;1;1;-1
1911-PPX5393;0;40-50 Tahun;1;DIY YOGYAKARTA;0;0;1;-1
2012-PW09922;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
1307-2484004;0;30-40 Tahun;1;BENGKULU;0;1;0;-1
2104-RT44315;0;40-50 Tahun;1;SULAWESI SELATAN;0;0;0;-1
2005-OI03305;0;30-40 Tahun;1;KALIMANTAN UTARA;0;1;0;-1
2010-YXC0815;0;20-30 Tahun;1;JAWA BARAT;0;1;1;-1
1310-4542503;0;30-40 Tahun;1;JAMBI;0;1;0;0
1307-4374798;0;30-40 Tahun;1;SUMATERA SELATAN;0;0;0;-1
1502-2510702;0;30-40 Tahun;1;SUMATERA SELATAN;0;1;0;-1
2011-W561074;0;20-30 Tahun;1;JAWA TENGAH;0;0;1;-1
2101-E453528;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
1908-PPX2598;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
2010-T037427;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
1108-5371707;0;50-70 Tahun;1;JAWA TIMUR;0;1;0;1
1505-G019772;0;50-70 Tahun;1;JAWA BARAT;0;0;0;-1
2103-LL17277;0;50-70 Tahun;1;JAWA TIMUR;0;0;0;-1
1208-6619272;0;40-50 Tahun;1;JAWA BARAT;0;1;0;-1
2011-PW12770;0;40-50 Tahun;0;JAWA TIMUR;0;1;0;-1
2111-LT27310;0;30-40 Tahun;1;SUMATERA UTARA;0;1;1;-1
2011-KLK7249;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
2111-IS31922;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
2001-PQ25792;0;20-30 Tahun;1;SUMATERA UTARA;0;1;0;-1
2009-PQ32113;0;50-70 Tahun;1;JAWA BARAT;0;0;1;-1
2103-OP89943;0;30-40 Tahun;1;RIAU;0;0;0;-1
2102-CX51662;0;20-30 Tahun;1;RIAU;0;0;0;-1
2010-T567296;0;30-40 Tahun;1;DIY YOGYAKARTA;0;0;0;-1
1309-5316686;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
1411-7364162;0;20-30 Tahun;1;JAWA TENGAH;0;1;0;-1
1907-Z777524;0;30-40 Tahun;1;DI  ACEH;0;1;0;1
2002-Q850981;0;20-30 Tahun;0;JAWA TENGAH;0;1;0;-1
2010-OP40853;0;30-40 Tahun;1;SULAWESI TENGAH;0;0;0;-1
2012-W564007;0;30-40 Tahun;1;SUMATERA UTARA;0;1;0;-1
2012-OP45070;0;20-30 Tahun;1;JAMBI;0;1;1;-1
2012-OI64874;0;20-30 Tahun;1;JAWA TENGAH;0;0;0;-1
1207-1528241;0;30-40 Tahun;1;DIY YOGYAKARTA;0;0;0;-1
2012-AO28089;0;30-40 Tahun;0;DIY YOGYAKARTA;0;0;0;-1
2112-CX94471;0;30-40 Tahun;1;DIY YOGYAKARTA;0;0;0;-1
2010-PQ37241;0;20-30 Tahun;1;JAWA TENGAH;0;0;1;-1
2011-E455854;0;>70 Tahun;1;SULAWESI UTARA;0;0;0;-1
2010-RO89351;0;50-70 Tahun;0;JAWA TIMUR;0;1;0;-1
2008-W518980;0;30-40 Tahun;1;BANTEN;1;1;1;-1
2003-CX19303;0;20-30 Tahun;1;JAWA TIMUR;0;0;1;-1
1902-T961693;0;20-30 Tahun;1;SUMATERA SELATAN;0;1;1;-1
2004-T046103;0;40-50 Tahun;0;BANTEN;0;1;0;1
1709-6635037;0;40-50 Tahun;1;JAWA BARAT;0;1;0;-1
1703-6753505;0;20-30 Tahun;1;DKI JAKARTA;0;0;0;-1
1804-Y933603;0;20-30 Tahun;1;JAWA TENGAH;0;1;0;2
2010-Q854598;0;20-30 Tahun;1;SUMATERA SELATAN;0;1;0;-1
1712-3078953;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
1810-M295141;0;40-50 Tahun;0;DI  ACEH;0;1;0;-1
2102-Q766164;0;30-40 Tahun;1;SUMATERA UTARA;0;0;0;-1
1605-E314817;0;20-30 Tahun;1;DKI JAKARTA;0;0;0;-1
2009-Q851437;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
1911-W579003;0;40-50 Tahun;0;JAWA TIMUR;0;1;0;-1
1401-C916497;0;40-50 Tahun;1;DKI JAKARTA;0;1;0;-1
2011-KLK6278;0;30-40 Tahun;1;SULAWESI SELATAN;0;0;0;-1
2008-OI17306;0;30-40 Tahun;1;SUMATERA BARAT;0;1;1;-1
2109-PM29763;0;30-40 Tahun;1;RIAU;0;0;0;-1
1504-5310568;0;30-40 Tahun;1;JAWA TIMUR;0;0;1;-1
1205-7126737;0;40-50 Tahun;1;KEPULAUAN RIAU;0;1;0;-1
1204-6593357;0;30-40 Tahun;1;SUMATERA SELATAN;0;0;0;0
2101-W548873;0;20-30 Tahun;0;LAMPUNG;0;1;1;-1
1310-5416976;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
2011-R077340;0;20-30 Tahun;1;NUSA TENGGARA BARAT;0;1;0;-1
2009-T033025;0;20-30 Tahun;1;BANTEN;0;0;0;-1
2102-LL17442;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
1007-1503070;0;50-70 Tahun;0;RIAU;0;1;0;-1
2010-Q822692;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
2111-W513391;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2008-KLK5972;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
1009-1140970;0;30-40 Tahun;1;JAWA BARAT;0;1;0;0
1805-3074110;0;20-30 Tahun;1;JAWA BARAT;0;0;1;-1
1304-2464839;0;30-40 Tahun;1;DKI JAKARTA;0;1;1;-1
2012-Q656870;0;30-40 Tahun;1;KEPULAUAN RIAU;0;0;0;-1
1207-8881777;0;30-40 Tahun;1;JAWA TENGAH;0;1;1;0
2103-PR13492;0;20-30 Tahun;1;JAWA TIMUR;0;0;1;-1
2012-Q855509;0;20-30 Tahun;1;BALI;0;1;0;-1
1907-KLK7192;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
1902-3926094;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
1504-D352426;0;30-40 Tahun;1;BANTEN;0;0;0;-1
2102-OP17362;0;20-30 Tahun;1;SUMATERA UTARA;0;0;0;-1
1907-OP55158;0;30-40 Tahun;1;SUMATERA SELATAN;0;0;0;-1
1206-6541604;0;30-40 Tahun;1;BANTEN;0;1;0;-1
2103-Q654044;0;20-30 Tahun;1;BANTEN;0;0;0;-1
1907-PQ45497;0;40-50 Tahun;1;JAWA TIMUR;0;1;0;-1
2105-PR26982;0;20-30 Tahun;0;JAWA TENGAH;0;1;0;-1
2104-FH10612;0;30-40 Tahun;0;DKI JAKARTA;0;1;0;-1
2012-TX29784;0;20-30 Tahun;1;JAWA TENGAH;0;0;0;-1
1901-Q830560;0;30-40 Tahun;1;SUMATERA BARAT;0;0;0;-1
1901-OP22856;0;20-30 Tahun;1;DKI JAKARTA;0;0;0;-1
1304-5471806;0;30-40 Tahun;1;JAWA BARAT;0;1;1;-1
1209-4003429;0;40-50 Tahun;1;JAWA TENGAH;1;0;0;-1
1904-OI49729;0;30-40 Tahun;1;DKI JAKARTA;0;0;0;-1
1812-Q795346;0;20-30 Tahun;1;SUMATERA UTARA;0;0;0;-1
1911-OP54463;0;20-30 Tahun;1;JAWA BARAT;0;0;1;-1
2001-Q878197;0;20-30 Tahun;1;JAWA BARAT;0;0;0;0
2103-LL10359;0;30-40 Tahun;1;DI  ACEH;0;0;0;-1
2005-ZC23026;0;50-70 Tahun;1;BANTEN;0;1;1;-1
1704-4004219;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
1702-F149669;0;30-40 Tahun;1;SULAWESI SELATAN;0;1;0;-1
1902-Q874364;0;30-40 Tahun;1;BANTEN;0;0;0;-1
1907-OP33396;0;20-30 Tahun;1;JAWA BARAT;0;1;1;-1
2108-OP16026;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2111-AL22628;0;30-40 Tahun;1;DIY YOGYAKARTA;0;0;0;-1
1110-1731695;0;40-50 Tahun;1;JAWA BARAT;0;0;0;-1
2002-W578882;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
1302-5391414;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
1901-E456107;0;20-30 Tahun;1;DKI JAKARTA;0;0;0;-1
2001-OP49469;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
1908-OI58303;0;30-40 Tahun;1;JAWA TENGAH;0;0;1;-1
2101-PO72224;0;20-30 Tahun;1;SULAWESI SELATAN;0;0;0;-1
2110-XQ01569;0;40-50 Tahun;1;JAWA TENGAH;0;0;0;-1
2103-Q578432;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
2012-PKL0884;0;20-30 Tahun;1;JAWA TENGAH;0;0;0;-1
2006-CD21113;0;20-30 Tahun;1;BENGKULU;0;0;0;-1
1101-1170065;0;50-70 Tahun;1;LAMPUNG;0;0;0;-1
1711-D421653;0;20-30 Tahun;1;SUMATERA UTARA;0;1;0;0
2005-W569848;0;30-40 Tahun;1;PAPUA;0;1;0;-1
0812-1532040;0;40-50 Tahun;1;BANTEN;0;1;0;1
2012-OI61006;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2009-RT06049;0;20-30 Tahun;1;KALIMANTAN TIMUR;0;0;0;-1
2102-W549860;0;20-30 Tahun;1;SUMATERA UTARA;0;1;0;-1
2010-QP16123;0;30-40 Tahun;1;JAMBI;0;0;0;-1
1908-CX14333;0;30-40 Tahun;1;JAWA TIMUR;0;1;1;-1
1910-Q838871;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
2008-OP15124;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
1608-D089397;0;30-40 Tahun;1;JAWA TENGAH;0;0;1;-1
1611-2638226;0;30-40 Tahun;1;JAWA TENGAH;0;1;1;-1
2011-RT07056;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
2007-OP70185;0;30-40 Tahun;1;JAWA TIMUR;0;1;0;-1
1405-D421434;0;30-40 Tahun;1;DKI JAKARTA;0;1;1;-1
2003-OP46752;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
1801-55Q4598;0;30-40 Tahun;1;LAMPUNG;0;1;1;-1
2011-TR01473;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
2103-W512773;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
1904-Q866282;0;50-70 Tahun;1;JAWA TIMUR;0;0;0;-1
2011-Q788823;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
0708-1125344;0;50-70 Tahun;1;JAWA TIMUR;0;0;0;0
1804-E456151;0;30-40 Tahun;1;SULAWESI UTARA;0;1;0;-1
2102-PW27841;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
1502-6599882;0;30-40 Tahun;1;JAWA BARAT;0;0;1;-1
2010-PQ11532;0;30-40 Tahun;1;SUMATERA BARAT;0;1;0;-1
1305-4008211;0;30-40 Tahun;1;BANTEN;0;1;0;-1
2102-I897406;0;20-30 Tahun;1;NUSA TENGGARA TIMUR;0;0;1;-1
2010-OP88970;0;30-40 Tahun;1;SULAWESI SELATAN;0;1;0;-1
2109-OQ14114;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
2011-Q620828;0;30-40 Tahun;1;SUMATERA UTARA;0;0;0;0
1805-8N93738;0;50-70 Tahun;1;JAWA TIMUR;0;0;1;-1
1708-J147343;0;40-50 Tahun;1;JAWA BARAT;0;1;1;0
1801-55Q4210;0;20-30 Tahun;1;SUMATERA UTARA;0;0;0;-1
1505-3941769;0;30-40 Tahun;1;JAWA TIMUR;0;1;0;-1
1905-I895909;0;50-70 Tahun;0;JAWA TENGAH;0;1;0;-1
1609-H788726;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
1606-D423880;0;50-70 Tahun;1;JAWA TENGAH;0;0;0;-1
1809-M299490;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
1004-1738953;0;>70 Tahun;1;DKI JAKARTA;0;0;0;-1
1607-H913141;0;20-30 Tahun;1;JAWA TIMUR;0;0;1;-1
2104-4CX8854;0;20-30 Tahun;1;JAWA TENGAH;0;1;0;-1
1411-E522957;0;40-50 Tahun;1;DIY YOGYAKARTA;0;1;1;0
1712-ZZ14118;0;20-30 Tahun;1;SULAWESI SELATAN;0;0;1;-1
2012-CX84963;0;20-30 Tahun;1;SUMATERA UTARA;0;1;0;-1
2103-RT03257;0;20-30 Tahun;1;BANTEN;1;0;0;-1
1512-6638070;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
1908-T058926;0;30-40 Tahun;1;DKI JAKARTA;1;0;0;-1
1407-6639823;0;40-50 Tahun;1;JAWA TENGAH;0;1;0;-1
2111-KLK1275;0;40-50 Tahun;1;JAWA TIMUR;0;0;0;-1
1809-KLK2085;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;0
2005-OI16550;0;20-30 Tahun;1;JAWA TENGAH;0;0;1;-1
2010-PQ46700;0;20-30 Tahun;1;BALI;0;1;0;-1
2103-PW29339;0;30-40 Tahun;1;BANTEN;0;0;1;-1
1504-D089939;0;30-40 Tahun;1;KALIMANTAN TIMUR;0;0;0;-1
2101-T569888;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
1810-E159581;0;30-40 Tahun;1;DKI JAKARTA;0;1;0;-1
1711-H365000;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2010-I870315;0;20-30 Tahun;1;SULAWESI TENGGARA;0;0;1;0
1110-5370083;0;40-50 Tahun;1;DKI JAKARTA;0;0;1;-1
2101-Q782933;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
1302-6813000;1;40-50 Tahun;1;JAWA TIMUR;0;1;0;2
1102-1705760;0;30-40 Tahun;1;DKI JAKARTA;0;1;0;-1
1506-7360306;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2002-M276066;0;30-40 Tahun;1;BANTEN;0;0;1;-1
2007-OP60895;0;30-40 Tahun;1;JAWA BARAT;0;1;1;-1
2009-XQ04372;0;20-30 Tahun;1;JAWA BARAT;0;1;1;-1
1007-1177987;0;30-40 Tahun;1;JAWA TIMUR;0;1;1;-1
2102-W510769;0;20-30 Tahun;1;SULAWESI SELATAN;0;0;0;-1
2101-OI84342;0;20-30 Tahun;1;KALIMANTAN TIMUR;0;1;0;-1
2011-Q872242;0;20-30 Tahun;1;BANTEN;1;1;1;-1
2011-F142701;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
2111-W513827;0;40-50 Tahun;1;KALIMANTAN TIMUR;0;0;1;-1
1908-Q863122;0;20-30 Tahun;1;SUMATERA BARAT;0;1;0;-1
2002-OI02211;0;20-30 Tahun;1;DKI JAKARTA;0;0;0;-1
2008-3CX8110;0;30-40 Tahun;1;JAWA TIMUR;0;1;0;-1
1101-1738717;0;40-50 Tahun;1;SUMATERA BARAT;0;1;0;2
1810-H218571;0;20-30 Tahun;1;JAWA TIMUR;0;1;1;-1
2012-D667738;0;40-50 Tahun;1;JAWA BARAT;0;0;0;-1
2010-AX28683;0;30-40 Tahun;1;SUMATERA UTARA;0;1;0;-1
1907-OP67815;0;30-40 Tahun;1;JAWA BARAT;0;0;1;-1
2011-W518739;0;20-30 Tahun;1;SULAWESI SELATAN;0;0;0;-1
2009-CX91200;0;20-30 Tahun;1;JAWA TENGAH;0;1;0;-1
2109-OI45793;0;30-40 Tahun;1;BANTEN;0;0;0;-1
2006-OI69073;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
2103-I864645;0;20-30 Tahun;1;SULAWESI UTARA;0;1;0;-1
1105-1416125;0;40-50 Tahun;1;JAWA TIMUR;0;0;0;-1
1601-5319283;0;30-40 Tahun;1;SUMATERA BARAT;0;1;1;-1
1709-E440151;0;30-40 Tahun;1;JAWA BARAT;0;0;1;-1
1608-H124726;0;50-70 Tahun;1;JAWA TENGAH;0;1;1;-1
1805-Y948619;0;20-30 Tahun;1;JAWA BARAT;0;0;1;-1
2111-ZW42868;0;50-70 Tahun;1;JAWA BARAT;0;0;0;-1
2002-T034410;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
1908-PW45617;0;30-40 Tahun;1;DIY YOGYAKARTA;0;0;0;-1
2103-RC15224;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
2007-YXC1920;0;30-40 Tahun;1;RIAU;0;0;0;-1
1004-1762505;0;30-40 Tahun;1;BALI;0;1;0;-1
1803-H215180;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2010-Q834259;0;30-40 Tahun;1;DKI JAKARTA;0;0;0;-1
1805-C917443;0;30-40 Tahun;1;BANTEN;0;0;0;-1
1507-2486068;0;40-50 Tahun;1;JAWA BARAT;0;0;0;-1
2011-TX28033;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;2
1911-W562429;0;30-40 Tahun;1;JAWA BARAT;1;1;0;-1
2012-RT06584;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
1104-1793137;0;30-40 Tahun;1;SUMATERA UTARA;0;1;0;-1
2002-ZC18405;0;30-40 Tahun;1;KALIMANTAN BARAT;0;0;0;-1
2001-T567943;0;40-50 Tahun;1;JAWA TIMUR;0;1;1;-1
2101-TR19820;0;20-30 Tahun;1;JAWA BARAT;0;0;1;-1
2010-OP29902;0;30-40 Tahun;1;PAPUA;0;1;0;-1
1909-OP58059;0;30-40 Tahun;1;DKI JAKARTA;0;0;0;-1
1810-T091844;0;30-40 Tahun;1;BANTEN;0;1;0;-1
1910-R075457;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
1711-C904454;0;30-40 Tahun;1;JAWA TIMUR;0;1;0;-1
1010-1724922;1;40-50 Tahun;1;JAWA TIMUR;0;1;0;0
2009-W512099;0;40-50 Tahun;1;JAWA TIMUR;0;0;0;-1
1910-OP94408;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
2103-Q877276;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2003-Q639005;0;40-50 Tahun;1;JAWA BARAT;0;0;0;-1
2010-OI47578;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2110-CPM5192;0;50-70 Tahun;1;SUMATERA BARAT;0;0;0;-1
2104-R071792;0;50-70 Tahun;0;RIAU;0;1;0;-1
1911-RO78413;0;30-40 Tahun;1;BANTEN;0;0;1;-1
2012-M280071;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2101-PQ18545;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;0
1801-1576162;0;20-30 Tahun;1;RIAU;0;0;0;-1
2010-Q873970;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
1402-4987453;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
1711-K262791;0;20-30 Tahun;1;DKI JAKARTA;0;1;0;-1
2101-N285047;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
2008-EV10730;0;20-30 Tahun;0;BALI;0;1;0;-1
2008-OP68932;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
1602-C917879;0;50-70 Tahun;1;JAWA TIMUR;0;0;0;-1
1910-PW35382;0;30-40 Tahun;1;BANTEN;0;0;0;-1
2102-I898423;0;30-40 Tahun;1;BANTEN;0;0;0;-1
2110-W545070;0;20-30 Tahun;1;JAWA TIMUR;0;0;1;-1
2201-PA28800;0;20-30 Tahun;1;SUMATERA UTARA;0;1;0;-1
2102-W515280;0;30-40 Tahun;1;BANTEN;0;1;0;-1
1902-I892577;0;30-40 Tahun;1;JAWA BARAT;0;1;1;-1
1408-6595900;0;30-40 Tahun;1;JAWA TENGAH;0;1;1;-1
1402-7097790;0;30-40 Tahun;1;SUMATERA BARAT;0;1;0;-1
1402-3066827;0;30-40 Tahun;1;SUMATERA SELATAN;0;1;1;0
2006-4385205;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
2111-PA44583;0;40-50 Tahun;1;KALIMANTAN SELATAN;0;1;0;-1
2101-Q825757;0;20-30 Tahun;1;JAWA TENGAH;0;1;1;-1
2102-4CX7418;0;40-50 Tahun;1;BANTEN;0;0;0;-1
1906-PW00503;0;20-30 Tahun;1;JAWA BARAT;1;0;1;-1
2004-3CX5996;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
1809-E455928;0;30-40 Tahun;1;SULAWESI TENGAH;0;0;0;-1
1912-T554539;0;20-30 Tahun;1;DI  ACEH;0;0;0;-1
1809-J522041;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2109-T574154;0;40-50 Tahun;1;JAWA TIMUR;0;0;0;-1
2002-PQ77531;0;20-30 Tahun;1;DI  ACEH;0;0;0;0
2101-T572206;0;30-40 Tahun;1;KALIMANTAN TIMUR;0;1;0;-1
1907-W548718;0;30-40 Tahun;1;DKI JAKARTA;0;1;0;-1
1502-7037181;0;40-50 Tahun;1;JAWA TENGAH;0;0;0;0
2009-Q864355;0;20-30 Tahun;1;JAWA BARAT;0;0;1;-1
1801-K264778;0;30-40 Tahun;1;SULAWESI TENGAH;0;1;0;0
1908-Q875635;0;20-30 Tahun;1;JAWA BARAT;1;0;0;-1
1409-D651317;0;30-40 Tahun;1;DKI JAKARTA;0;1;0;-1
2105-I893392;0;20-30 Tahun;1;PAPUA;0;0;1;-1
1910-Q623804;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
1203-7090369;0;40-50 Tahun;1;JAWA TENGAH;0;1;0;-1
2102-OQ16896;0;20-30 Tahun;1;SUMATERA UTARA;0;1;1;-1
1810-M278116;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
1809-UTJ4403;0;50-70 Tahun;1;JAWA TIMUR;0;0;0;-1
2010-OP83825;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
2011-OP83691;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
1805-M620382;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
1901-E459934;0;20-30 Tahun;1;BANTEN;0;0;0;-1
1901-D651205;0;20-30 Tahun;1;DKI JAKARTA;0;0;0;-1
2102-TX27011;0;20-30 Tahun;1;RIAU;0;1;1;-1
2011-Q860311;0;40-50 Tahun;1;SULAWESI UTARA;0;1;0;-1
0712-1162307;0;40-50 Tahun;1;SUMATERA BARAT;1;1;0;1
1710-V623166;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
1609-7031543;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
1803-H213687;0;30-40 Tahun;1;SULAWESI SELATAN;0;0;0;-1
2104-B8E6851;0;20-30 Tahun;1;KALIMANTAN SELATAN;0;0;0;-1
2004-ZW54414;0;20-30 Tahun;1;JAWA TIMUR;0;1;0;-1
1406-4981760;1;40-50 Tahun;1;JAWA TIMUR;0;1;1;-1
1506-D061610;0;30-40 Tahun;1;JAWA TENGAH;0;1;0;-1
1505-1573111;0;20-30 Tahun;1;RIAU;0;0;0;-1
1612-D274459;0;50-70 Tahun;0;NUSA TENGGARA BARAT;0;1;0;-1
1501-1578319;0;30-40 Tahun;1;JAWA TIMUR;0;0;1;-1
1908-T057828;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
0710-1011793;0;40-50 Tahun;1;DKI JAKARTA;0;0;0;2
0709-1028848;0;40-50 Tahun;1;JAWA TIMUR;0;0;0;1
1712-D105218;0;20-30 Tahun;1;JAWA TIMUR;0;1;1;-1
0811-1171615;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;0
1401-2633188;0;30-40 Tahun;1;SUMATERA BARAT;0;0;1;0
1504-4382945;0;30-40 Tahun;1;SULAWESI SELATAN;0;1;0;-1
0904-1078013;0;40-50 Tahun;1;KALIMANTAN TIMUR;0;0;1;-1
2010-OP71363;0;20-30 Tahun;1;BANTEN;0;1;0;-1
2011-OP12496;0;20-30 Tahun;1;KALIMANTAN SELATAN;0;0;0;-1
1804-J877899;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
1611-H811327;1;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
2009-R074707;0;30-40 Tahun;0;JAWA TIMUR;0;1;0;-1
1812-M274773;0;20-30 Tahun;1;DKI JAKARTA;0;1;1;-1
2102-T032731;0;30-40 Tahun;1;SULAWESI TENGGARA;0;0;0;-1
2005-W540719;0;20-30 Tahun;1;JAWA TIMUR;0;1;1;-1
1503-F739189;0;30-40 Tahun;1;DKI JAKARTA;0;0;0;-1
1308-5765394;0;30-40 Tahun;1;JAWA TIMUR;0;1;0;-1
1910-CD14704;0;30-40 Tahun;1;SUMATERA UTARA;0;1;1;-1
